ޜ�0��p��P��P����0��Q��A�A���P������0��0����A�p������0��p����P��p����A�0��P�������A�x��P��A����0��P����battery_voltage	64.00
last_read_micros	8048008
current_read_micros	8090256
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1124000549
calculte_milli_coulombs_transffred	2112.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	8090256
current_read_micros	8132500
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42260.00
last_read_micros	8132500
current_read_micros	8174760
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1129999160
calculte_milli_coulombs_transffred	2113.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	8174760
current_read_micros	8216988
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42248.00
last_read_micros	8216988
current_read_micros	8259236
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1124000549
calculte_milli_coulombs_transffred	2112.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78240.00
last_read_micros	8259236
current_read_micros	8337476
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9119998931
calculte_milli_coulombs_transffred	3912.0002441406
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39492.00
last_read_micros	8337476
current_read_micros	8376968
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9745999336
calculte_milli_coulombs_transffred	1974.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42240.00
last_read_micros	8376968
current_read_micros	8419208
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1119999885
calculte_milli_coulombs_transffred	2112.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42252.00
last_read_micros	8419208
current_read_micros	8461460
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1126000881
calculte_milli_coulombs_transffred	2112.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	8461460
current_read_micros	8503688
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42248.00
last_read_micros	8503688
current_read_micros	8545936
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1124000549
calculte_milli_coulombs_transffred	2112.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42252.00
last_read_micros	8545936
current_read_micros	8588188
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1126000881
calculte_milli_coulombs_transffred	2112.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78232.00
last_read_micros	8588188
current_read_micros	8666420
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.9115999221
calculte_milli_coulombs_transffred	3911.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39488.00
last_read_micros	8666420
current_read_micros	8705908
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9744000434
calculte_milli_coulombs_transffred	1974.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42236.00
last_read_micros	8705908
current_read_micros	8748144
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1117999553
calculte_milli_coulombs_transffred	2111.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42264.00
last_read_micros	8748144
current_read_micros	8790408
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	2113.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42240.00
last_read_micros	8790408
current_read_micros	8832648
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1119999885
calculte_milli_coulombs_transffred	2112.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42240.00
last_read_micros	8832648
current_read_micros	8874888
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1119999885
calculte_milli_coulombs_transffred	2112.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42252.00
last_read_micros	8874888
current_read_micros	8917140
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1126000881
calculte_milli_coulombs_transffred	2112.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78220.00
last_read_micros	8917140
current_read_micros	8995360
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9110000610
calculte_milli_coulombs_transffred	3911.0002441406
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39460.00
last_read_micros	8995360
current_read_micros	9034820
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9730000495
calculte_milli_coulombs_transffred	1973.0001220703
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42276.00
last_read_micros	9034820
current_read_micros	9077096
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1138000488
calculte_milli_coulombs_transffred	2113.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42256.00
last_read_micros	9077096
current_read_micros	9119352
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1127998828
calculte_milli_coulombs_transffred	2112.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	9119352
current_read_micros	9161580
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42248.00
last_read_micros	9161580
current_read_micros	9203828
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1124000549
calculte_milli_coulombs_transffred	2112.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42252.00
last_read_micros	9203828
current_read_micros	9246080
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1126000881
calculte_milli_coulombs_transffred	2112.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78212.00
last_read_micros	9246080
current_read_micros	9324292
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9105998992
calculte_milli_coulombs_transffred	3910.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39476.00
last_read_micros	9324292
current_read_micros	9363768
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9737998962
calculte_milli_coulombs_transffred	1973.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42264.00
last_read_micros	9363768
current_read_micros	9406032
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	2113.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	9406032
current_read_micros	9448260
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42256.00
last_read_micros	9448260
current_read_micros	9490516
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1127998828
calculte_milli_coulombs_transffred	2112.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42216.00
last_read_micros	9490516
current_read_micros	9532732
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1108000278
calculte_milli_coulombs_transffred	2110.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42288.00
last_read_micros	9532732
current_read_micros	9575020
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1143999099
calculte_milli_coulombs_transffred	2114.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78176.00
last_read_micros	9575020
current_read_micros	9653196
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9087999343
calculte_milli_coulombs_transffred	3908.8002929687
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39496.00
last_read_micros	9653196
current_read_micros	9692692
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9748000144
calculte_milli_coulombs_transffred	1974.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	9692692
current_read_micros	9734920
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42260.00
last_read_micros	9734920
current_read_micros	9777180
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1129999160
calculte_milli_coulombs_transffred	2113.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	9777180
current_read_micros	9819408
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42264.00
last_read_micros	9819408
current_read_micros	9861672
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	2113.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	9861672
current_read_micros	9903900
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78236.00
last_read_micros	9903900
current_read_micros	9982136
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.9117999076
calculte_milli_coulombs_transffred	3911.8002929687
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39460.00
last_read_micros	9982136
current_read_micros	10021596
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9730000495
calculte_milli_coulombs_transffred	1973.0001220703
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42356.00
last_read_micros	10021596
current_read_micros	10063952
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1177999973
calculte_milli_coulombs_transffred	2117.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42424.00
last_read_micros	10063952
current_read_micros	10106376
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1212000846
calculte_milli_coulombs_transffred	2121.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42420.00
last_read_micros	10106376
current_read_micros	10148796
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1210000514
calculte_milli_coulombs_transffred	2121.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42404.00
last_read_micros	10148796
current_read_micros	10191200
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1201999187
calculte_milli_coulombs_transffred	2120.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42404.00
last_read_micros	10191200
current_read_micros	10233604
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1201999187
calculte_milli_coulombs_transffred	2120.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78412.00
last_read_micros	10233604
current_read_micros	10312016
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9205999374
calculte_milli_coulombs_transffred	3920.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39672.00
last_read_micros	10312016
current_read_micros	10351688
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9836000442
calculte_milli_coulombs_transffred	1983.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42408.00
last_read_micros	10351688
current_read_micros	10394096
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1203999519
calculte_milli_coulombs_transffred	2120.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42396.00
last_read_micros	10394096
current_read_micros	10436492
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1198000907
calculte_milli_coulombs_transffred	2119.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	10436492
current_read_micros	10478908
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	10478908
current_read_micros	10521324
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

