�����������������8K؟�����ў����������8K���8K���8K���8K����������K��������؟����؟��������������������8K؟�����ў����������8K���8K���8K���8K����������K��������؟����؟��������������������8K؟�����ў����������8K���8K���8K���8K�����battery_voltage	64.00
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	-329310.7500000000
battery_capacity_coulomb	54021.0664062500
battery_capacity_milli_coulomb	54021069
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14206
% bat	50019.50781
% batA	0.00000
% batB	100.00000
% batC	135.35853

dt_ms	41904.00
last_read_micros	6756200
current_read_micros	6798104
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54019.4414062500
battery_capacity_milli_coulomb	54019439
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14817
% bat	50018.00000
% batA	0.00000
% batB	100.00000
% batC	123.98857

dt_ms	41908.00
last_read_micros	6798104
current_read_micros	6840012
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	-330696.0625000000
battery_capacity_coulomb	54016.4570312500
battery_capacity_milli_coulomb	54016455
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15732
% bat	50015.23437
% batA	0.00000
% batB	100.00000
% batC	103.17383

dt_ms	41912.00
last_read_micros	6840012
current_read_micros	6881924
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	-330057.0000000000
battery_capacity_coulomb	54013.4414062500
battery_capacity_milli_coulomb	54013439
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16648
% bat	50012.44531
% batA	0.00000
% batB	0.00000
% batC	82.13588

dt_ms	41644.00
last_read_micros	6881924
current_read_micros	6923568
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0822000503
calculte_milli_coulombs_transffred	-328612.8125000000
battery_capacity_coulomb	54011.0625000000
battery_capacity_milli_coulomb	54011062
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.24609
% batA	0.00000
% batB	0.00000
% batC	65.55525

BAT PERCENT
50.01 %
dt_ms	76112.00
last_read_micros	6923568
current_read_micros	6999680
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8055999755
calculte_milli_coulombs_transffred	-600599.8125000000
battery_capacity_coulomb	54010.1289062500
battery_capacity_milli_coulomb	54010130
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.37500
% batA	0.00000
% batB	0.00000
% batC	59.05413

dt_ms	39080.00
last_read_micros	6999680
current_read_micros	7038760
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9539999961
calculte_milli_coulombs_transffred	-309005.5937500000
battery_capacity_coulomb	53999.3554687500
battery_capacity_milli_coulomb	53999355
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20920
% bat	49999.40234
% batA	0.00000
% batB	0.00000
% batC	-16.10631

dt_ms	41736.00
last_read_micros	7038760
current_read_micros	7080496
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	-328671.0312500000
battery_capacity_coulomb	54018.0312500000
battery_capacity_milli_coulomb	54018030
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15122
% bat	50016.69531
% batA	0.00000
% batB	100.00000
% batC	114.16016

dt_ms	41904.00
last_read_micros	7080496
current_read_micros	7122400
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54017.0390625000
battery_capacity_milli_coulomb	54017039
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50015.77734
% batA	0.00000
% batB	100.00000
% batC	107.24749

dt_ms	41904.00
last_read_micros	7122400
current_read_micros	7164304
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54014.0546875000
battery_capacity_milli_coulomb	54014055
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16342
% bat	50013.01171
% batA	0.00000
% batB	0.00000
% batC	86.43276

dt_ms	41644.00
last_read_micros	7164304
current_read_micros	7205948
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0822000503
calculte_milli_coulombs_transffred	-329279.1250000000
battery_capacity_coulomb	54011.0703125000
battery_capacity_milli_coulomb	54011071
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.25390
% batA	0.00000
% batB	0.00000
% batC	65.61803

dt_ms	41656.00
last_read_micros	7205948
current_read_micros	7247604
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0827999114
calculte_milli_coulombs_transffred	-328707.5000000000
battery_capacity_coulomb	54009.4726562500
battery_capacity_milli_coulomb	54009472
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17868
% bat	50008.76953
% batA	0.00000
% batB	0.00000
% batC	54.46429

BAT PERCENT
50.01 %
dt_ms	76100.00
last_read_micros	7247604
current_read_micros	7323704
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8050001144
calculte_milli_coulombs_transffred	-599287.5000000000
battery_capacity_coulomb	54008.4453125000
battery_capacity_milli_coulomb	54008445
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.18173
% bat	50007.81640
% batA	0.00000
% batB	0.00000
% batC	47.30050

dt_ms	39080.00
last_read_micros	7323704
current_read_micros	7362784
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9539999961
calculte_milli_coulombs_transffred	-309005.5937500000
battery_capacity_coulomb	53998.9843750000
battery_capacity_milli_coulomb	53998982
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.21226
% bat	49999.06250
% batA	0.00000
% batB	0.00000
% batC	-18.70815

dt_ms	41732.00
last_read_micros	7362784
current_read_micros	7404516
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	-328639.5000000000
battery_capacity_coulomb	54017.6562500000
battery_capacity_milli_coulomb	54017657
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50016.34765
% batA	0.00000
% batB	100.00000
% batC	111.55831

dt_ms	41908.00
last_read_micros	7404516
current_read_micros	7446424
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	-330696.0625000000
battery_capacity_coulomb	54016.6953125000
battery_capacity_milli_coulomb	54016698
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15732
% bat	50015.46093
% batA	0.00000
% batB	100.00000
% batC	104.86886

dt_ms	41896.00
last_read_micros	7446424
current_read_micros	7488320
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0947999954
calculte_milli_coulombs_transffred	-329931.0312500000
battery_capacity_coulomb	54013.6796875000
battery_capacity_milli_coulomb	54013682
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16648
% bat	50012.66796
% batA	0.00000
% batB	0.00000
% batC	83.83092

dt_ms	41656.00
last_read_micros	7488320
current_read_micros	7529976
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0827999114
calculte_milli_coulombs_transffred	-328707.5000000000
battery_capacity_coulomb	54011.4335937500
battery_capacity_milli_coulomb	54011431
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.58593
% batA	0.00000
% batB	0.00000
% batC	68.12919

dt_ms	41660.00
last_read_micros	7529976
current_read_micros	7571636
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0829999446
calculte_milli_coulombs_transffred	-328072.5312500000
battery_capacity_coulomb	54010.4023437500
battery_capacity_milli_coulomb	54010404
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.63281
% batA	0.00000
% batB	0.00000
% batC	60.96540

BAT PERCENT
50.01 %
dt_ms	76080.00
last_read_micros	7571636
current_read_micros	7647716
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8039999008
calculte_milli_coulombs_transffred	-601564.5625000000
battery_capacity_coulomb	54010.0117187500
battery_capacity_milli_coulomb	54010012
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.26953
% batA	0.00000
% batB	0.00000
% batC	58.23102

dt_ms	39076.00
last_read_micros	7647716
current_read_micros	7686792
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9538000106
calculte_milli_coulombs_transffred	-307723.5000000000
battery_capacity_coulomb	53998.2734375000
battery_capacity_milli_coulomb	53998272
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.21226
% bat	49998.40234
% batA	0.00000
% batB	0.00000
% batC	-23.66072

dt_ms	41736.00
last_read_micros	7686792
current_read_micros	7728528
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	-328671.0312500000
battery_capacity_coulomb	54018.2265625000
battery_capacity_milli_coulomb	54018229
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15122
% bat	50016.87500
% batA	0.00000
% batB	100.00000
% batC	115.54827

dt_ms	41904.00
last_read_micros	7728528
current_read_micros	7770432
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-329994.0000000000
battery_capacity_coulomb	54017.2382812500
battery_capacity_milli_coulomb	54017238
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50015.96093
% batA	0.00000
% batB	100.00000
% batC	108.63561

dt_ms	41896.00
last_read_micros	7770432
current_read_micros	7812328
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0947999954
calculte_milli_coulombs_transffred	-330601.3750000000
battery_capacity_coulomb	54014.9257812500
battery_capacity_milli_coulomb	54014924
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16342
% bat	50013.82031
% batA	0.00000
% batB	0.00000
% batC	92.49443

dt_ms	41656.00
last_read_micros	7812328
current_read_micros	7853984
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0827999114
calculte_milli_coulombs_transffred	-328041.0000000000
battery_capacity_coulomb	54012.0039062500
battery_capacity_milli_coulomb	54012003
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16953
% bat	50011.11718
% batA	0.00000
% batB	0.00000
% batC	72.11914

dt_ms	41668.00
last_read_micros	7853984
current_read_micros	7895652
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0834000110
calculte_milli_coulombs_transffred	-328135.5000000000
battery_capacity_coulomb	54011.6406250000
battery_capacity_milli_coulomb	54011642
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.77734
% batA	0.00000
% batB	0.00000
% batC	69.60101

BAT PERCENT
50.01 %
dt_ms	76064.00
last_read_micros	7895652
current_read_micros	7971716
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8031999588
calculte_milli_coulombs_transffred	-601438.1250000000
battery_capacity_coulomb	54011.1875000000
battery_capacity_milli_coulomb	54011187
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.35546
% batA	0.00000
% batB	0.00000
% batC	66.42718

dt_ms	39092.00
last_read_micros	7971716
current_read_micros	8010808
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9545999526
calculte_milli_coulombs_transffred	-308475.0000000000
battery_capacity_coulomb	53999.5703125000
battery_capacity_milli_coulomb	53999573
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20920
% bat	49999.60156
% batA	0.00000
% batB	0.00000
% batC	-14.58566

dt_ms	41732.00
last_read_micros	8010808
current_read_micros	8052540
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	-328639.5000000000
battery_capacity_coulomb	54018.7773437500
battery_capacity_milli_coulomb	54018778
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15122
% bat	50017.38281
% batA	0.00000
% batB	100.00000
% batC	119.37779

dt_ms	41904.00
last_read_micros	8052540
current_read_micros	8094444
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54017.8203125000
battery_capacity_milli_coulomb	54017819
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50016.50000
% batA	0.00000
% batB	100.00000
% batC	112.68834

dt_ms	41908.00
last_read_micros	8094444
current_read_micros	8136352
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	-330025.5312500000
battery_capacity_coulomb	54014.8359375000
battery_capacity_milli_coulomb	54014835
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16342
% bat	50013.74218
% batA	0.00000
% batB	0.00000
% batC	91.87361

dt_ms	41652.00
last_read_micros	8136352
current_read_micros	8178004
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	-328675.9375000000
battery_capacity_coulomb	54012.4882812500
battery_capacity_milli_coulomb	54012490
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16953
% bat	50011.56250
% batA	0.00000
% batB	0.00000
% batC	75.51618

dt_ms	41652.00
last_read_micros	8178004
current_read_micros	8219656
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	-328675.9375000000
battery_capacity_coulomb	54011.4960937500
battery_capacity_milli_coulomb	54011495
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.64453
% batA	0.00000
% batB	0.00000
% batC	68.57562

BAT PERCENT
50.01 %
dt_ms	76100.00
last_read_micros	8219656
current_read_micros	8295756
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8050001144
calculte_milli_coulombs_transffred	-600505.1250000000
battery_capacity_coulomb	54010.5000000000
battery_capacity_milli_coulomb	54010500
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.72265
% batA	0.00000
% batB	0.00000
% batC	61.63504

dt_ms	39076.00
last_read_micros	8295756
current_read_micros	8334832
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9538000106
calculte_milli_coulombs_transffred	-308348.7187500000
battery_capacity_coulomb	53999.8203125000
battery_capacity_milli_coulomb	53999819
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20920
% bat	49999.83593
% batA	0.00000
% batB	0.00000
% batC	-12.86970

dt_ms	41736.00
last_read_micros	8334832
current_read_micros	8376568
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	-330006.5625000000
battery_capacity_coulomb	54019.1523437500
battery_capacity_milli_coulomb	54019151
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14817
% bat	50017.73437
% batA	0.00000
% batB	100.00000
% batC	121.97963

dt_ms	41912.00
last_read_micros	8376568
current_read_micros	8418480
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	-330727.5937500000
battery_capacity_coulomb	54016.8242187500
battery_capacity_milli_coulomb	54016825
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15732
% bat	50015.57812
% batA	0.00000
% batB	100.00000
% batC	105.75475

dt_ms	41896.00
last_read_micros	8418480
current_read_micros	8460376
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0947999954
calculte_milli_coulombs_transffred	-329931.0312500000
battery_capacity_coulomb	54013.7773437500
battery_capacity_milli_coulomb	54013778
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16648
% bat	50012.75781
% batA	0.00000
% batB	0.00000
% batC	84.50056

dt_ms	41652.00
last_read_micros	8460376
current_read_micros	8502028
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	-328675.9375000000
battery_capacity_coulomb	54011.5273437500
battery_capacity_milli_coulomb	54011527
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.67578
% batA	0.00000
% batB	0.00000
% batC	68.79883

dt_ms	41648.00
last_read_micros	8502028
current_read_micros	8543676
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	-327978.0000000000
battery_capacity_coulomb	54010.5312500000
battery_capacity_milli_coulomb	54010532
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.75000
% batA	0.00000
% batB	0.00000
% batC	61.85826

BAT PERCENT
50.01 %
dt_ms	76096.00
last_read_micros	8543676
current_read_micros	8619772
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8048000335
calculte_milli_coulombs_transffred	-599256.0000000000
battery_capacity_coulomb	54010.2304687500
battery_capacity_milli_coulomb	54010234
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.47265
% batA	0.00000
% batB	0.00000
% batC	59.77957

dt_ms	39084.00
last_read_micros	8619772
current_read_micros	8658856
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9541999816
calculte_milli_coulombs_transffred	-308411.8437500000
battery_capacity_coulomb	54000.8007812500
battery_capacity_milli_coulomb	54000802
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20615
% bat	50000.73828
% batA	0.00000
% batB	0.00000
% batC	-6.01283

dt_ms	41656.00
last_read_micros	8658856
current_read_micros	8700512
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0827999114
calculte_milli_coulombs_transffred	-328707.5000000000
battery_capacity_coulomb	54020.0703125000
battery_capacity_milli_coulomb	54020071
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14511
% bat	50018.58593
% batA	0.00000
% batB	100.00000
% batC	128.39704

dt_ms	41900.00
last_read_micros	8700512
current_read_micros	8742412
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	-330632.9062500000
battery_capacity_coulomb	54019.0429687500
battery_capacity_milli_coulomb	54019044
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14817
% bat	50017.63671
% batA	0.00000
% batB	100.00000
% batC	121.23326

dt_ms	41904.00
last_read_micros	8742412
current_read_micros	8784316
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-329994.0000000000
battery_capacity_coulomb	54016.0937500000
battery_capacity_milli_coulomb	54016092
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15732
% bat	50014.89843
% batA	0.00000
% batB	100.00000
% batC	100.64174

dt_ms	41908.00
last_read_micros	8784316
current_read_micros	8826224
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	-330025.5312500000
battery_capacity_coulomb	54013.7773437500
battery_capacity_milli_coulomb	54013778
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16648
% bat	50012.75781
% batA	0.00000
% batB	0.00000
% batC	84.50056

dt_ms	41652.00
last_read_micros	8826224
current_read_micros	8867876
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	-328675.9375000000
battery_capacity_coulomb	54011.4335937500
battery_capacity_milli_coulomb	54011433
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.58593
% batA	0.00000
% batB	0.00000
% batC	68.14314

BAT PERCENT
50.01 %
dt_ms	76088.00
last_read_micros	8867876
current_read_micros	8943964
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8043999671
calculte_milli_coulombs_transffred	-599193.0625000000
battery_capacity_coulomb	54010.4414062500
battery_capacity_milli_coulomb	54010438
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.66796
% batA	0.00000
% batB	0.00000
% batC	61.20257

dt_ms	39076.00
last_read_micros	8943964
current_read_micros	8983040
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9538000106
calculte_milli_coulombs_transffred	-308348.7187500000
battery_capacity_coulomb	54001.0664062500
battery_capacity_milli_coulomb	54001069
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20310
% bat	50000.99218
% batA	0.00000
% batB	0.00000
% batC	-4.15039

dt_ms	41660.00
last_read_micros	8983040
current_read_micros	9024700
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0829999446
calculte_milli_coulombs_transffred	-328072.5312500000
battery_capacity_coulomb	54020.3984375000
battery_capacity_milli_coulomb	54020401
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14511
% bat	50018.88671
% batA	0.00000
% batB	100.00000
% batC	130.69894

dt_ms	41888.00
last_read_micros	9024700
current_read_micros	9066588
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0943999290
calculte_milli_coulombs_transffred	-330538.2187500000
battery_capacity_coulomb	54020.0078125000
battery_capacity_milli_coulomb	54020009
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14511
% bat	50018.52734
% batA	0.00000
% batB	100.00000
% batC	127.96456

dt_ms	41916.00
last_read_micros	9066588
current_read_micros	9108504
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0957999229
calculte_milli_coulombs_transffred	-330759.1875000000
battery_capacity_coulomb	54017.1523437500
battery_capacity_milli_coulomb	54017151
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50015.87890
% batA	0.00000
% batB	100.00000
% batC	108.02874

dt_ms	41900.00
last_read_micros	9108504
current_read_micros	9150404
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	-330632.9062500000
battery_capacity_coulomb	54014.0703125000
battery_capacity_milli_coulomb	54014072
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16342
% bat	50013.02734
% batA	0.00000
% batB	0.00000
% batC	86.55134

dt_ms	41660.00
last_read_micros	9150404
current_read_micros	9192064
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0829999446
